Movie,Year,Genre,PosterURL,R,G,B,HEX,Brightness
3 Idiots,2009.0,"Drama, Comedy",https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg,235,212,82,#ebd452,204.05700000000002
Nanban,2012.0,"Comedy, Drama",https://image.tmdb.org/t/p/w500/dmhPnvYQVtx4xS1dkA9trCpQXvY.jpg,223,95,58,#df5f3a,129.05399999999997
3 Idiotas,2017.0,"Family, Comedy",https://image.tmdb.org/t/p/w500/hZB9NvNLcxdmoiAh58ZfG8vdXjf.jpg,116,99,83,#746353,102.259
Pyar Jhukta Nahin,1985.0,Unknown,https://image.tmdb.org/t/p/w500/oV7tPeC8f5KEPJpccMejRNtITmP.jpg,51,36,54,#332436,42.537
Nee Bareda Kadambari,1985.0,"Drama, Romance",https://image.tmdb.org/t/p/w500/fqWOLyiLy8R77jL8ZZ8MUSwQcUD.jpg,237,228,232,#ede4e8,231.147
Arth - The Destination,2017.0,"Drama, Music, Romance",https://image.tmdb.org/t/p/w500/3yqIhulVuWYy3sXLSzidmtZ9ZmH.jpg,18,1,2,#120102,6.196999999999999
The Absent-Minded Professor,1961.0,"Comedy, Family, Science Fiction",https://image.tmdb.org/t/p/w500/gCnuDDqoyaBdeeItQ4BjKtYpzF6.jpg,106,110,116,#6a6e74,109.488
Flubber,1997.0,"Comedy, Family, Science Fiction",https://image.tmdb.org/t/p/w500/bnKvk04icAyCO1KjqhsaEXBO9aJ.jpg,6,155,51,#069b33,98.59299999999999
Adventures in Babysitting,1987.0,Comedy,https://image.tmdb.org/t/p/w500/8QiAj0Xw2UMeZMIIfZKeNoIsszs.jpg,14,11,19,#0e0b13,12.809000000000001
Adventures in Babysitting,2016.0,"Comedy, Family, Adventure",https://image.tmdb.org/t/p/w500/t12bYhmv7LIcHT4TGGpW6WaMV2W.jpg,24,13,20,#180d14,17.087
Mann,1999.0,"Drama, Romance",https://image.tmdb.org/t/p/w500/nbn9Hxj7GEBxrZ8biAfIjhYSs1Y.jpg,33,33,32,#212120,32.886
Agneepath,1990.0,"Action, Crime, Drama",https://image.tmdb.org/t/p/w500/kKCWrcIi6pAXNvPnC1LWtV4hB8u.jpg,7,5,4,#070504,5.484
Agneepath,2012.0,"Action, Crime, Drama",https://image.tmdb.org/t/p/w500/xO9sErs0c3XMzh8O34ygQWcENTj.jpg,46,10,5,#2e0a05,20.194
Aladdin,1992.0,"Animation, Family, Adventure, Fantasy, Romance",https://image.tmdb.org/t/p/w500/eLFfl7vS8dkeG1hKp5mwbm37V83.jpg,34,53,112,#223570,54.045
Aladdin,2019.0,"Adventure, Fantasy, Romance, Family",https://image.tmdb.org/t/p/w500/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg,38,49,107,#26316b,52.323
